"","True","Est","Bias","RBias","SE","MCSE","RMSE","Power","ROPE","CR(%)"
"beta00",0,0,0,NA,0.03,0.03,0.03,0.09,0.95,91
"sd_beta0",0.2,0.19,-0.01,-0.05,0.03,0.03,0.03,1,0.96,94
"beta10",0.5,0.5,0,0,0.02,0.02,0.02,1,1,96
"sd_beta1",0.2,0.2,0,-0.01,0.02,0.02,0.02,1,1,94
"AR0",0.3,0.3,0,0,0.01,0.01,0.01,1,1,98
"sd_AR",0.1,0.1,0,0.01,0.01,0.01,0.01,1,1,93
"gamma0[2]",2,2,0,0,0.03,0.03,0.03,1,1,91
"shift",2,2,0,0,0.03,0.03,0.03,1,1,91
"sd_gamma[2]",0.2,0.2,0,-0.01,0.03,0.03,0.03,1,0.98,94
"alpha121",-3,-3,0,0,0.11,0.12,0.12,1,1,94
"alpha221",1,1,0,0,0.06,0.06,0.06,1,1,94
"alpha112",-2,-2.02,-0.02,0.01,0.12,0.12,0.12,1,1,96
"alpha212",-1,-1.01,-0.01,0.01,0.07,0.07,0.07,1,1,97
